,表チーム,裏チーム,表得点,裏得点
2582,レッズ,カブス,2,1
2583,ツインズ,レイズ,1,10
2584,パイレーツ,カブス,5,1
2585,Rソックス,オリオールズ,6,4
2586,ツインズ,レイズ,6,8
2587,Rソックス,オリオールズ,5,1
2588,パイレーツ,カブス,6,0
2589,パイレーツ,カブス,6,7
2590,マーリンズ,オリオールズ,2,0
2591,パイレーツ,カブス,0,3
2592,マーリンズ,オリオールズ,4,10
2593,カージナルス,カブス,4,8
2594,ブルージェイズ,レイズ,2,6
2595,カージナルス,カブス,2,1
2596,ブルージェイズ,レイズ,3,5
2597,ブルージェイズ,レイズ,2,1
2598,カージナルス,カブス,5,10
2599,ブレーブス,レイズ,1,0
2600,ブレーブス,レイズ,5,2
2601,Rソックス,レイズ,4,1
2602,Rソックス,レイズ,3,6
2603,カブス,レッズ,8,1
2604,オリオールズ,レイズ,2,0
2605,オリオールズ,レイズ,3,8
2606,カブス,レッズ,6,1
2607,マリナーズ,レイズ,5,4
2608,マリナーズ,レイズ,4,3
2609,マリナーズ,レイズ,3,7
2610,パイレーツ,レッズ,5,4
2611,マリナーズ,レイズ,5,4
2612,ブルージェイズ,レイズ,4,8
2613,ブルージェイズ,レイズ,1,4
2614,ロイヤルズ,インディアンス,1,0
2615,ブルージェイズ,レイズ,0,1
2616,ロイヤルズ,インディアンス,1,3
2617,ヤンキース,レイズ,1,2
2618,タイガース,インディアンス,0,2
2619,ヤンキース,レイズ,0,4
2620,タイガース,インディアンス,1,2
2621,ヤンキース,レイズ,6,7
2622,タイガース,インディアンス,1,5
2623,ナショナルズ,レイズ,0,11
2624,タイガース,インディアンス,3,9
2625,ナショナルズ,レイズ,0,1
2626,ブルージェイズ,インディアンス,8,4
2627,アストロズ,レイズ,1,0
2628,アストロズ,レイズ,2,3
2629,アストロズ,レイズ,2,5
2630,カブス,インディアンス,10,3
2631,カブス,インディアンス,1,4
2632,カージナルス,レッズ,7,6
2633,マリナーズ,インディアンス,5,4
2634,アストロズ,レイズ,2,3
2635,マリナーズ,インディアンス,5,6
2636,タイガース,レイズ,2,4
2637,マーリンズ,レイズ,6,5
2638,マーリンズ,レイズ,3,2
2639,レンジャーズ,インディアンス,8,6
2640,マーリンズ,レイズ,4,6
2641,タイガース,レッズ,5,9
2642,ヤンキース,レイズ,6,7
2643,ロイヤルズ,インディアンス,10,9
2644,タイガース,レッズ,3,5
2645,ロイヤルズ,インディアンス,2,6
2646,ヤンキース,レイズ,4,0
2647,ロイヤルズ,インディアンス,2,11
2648,ヤンキース,レイズ,2,3
2649,アストロズ,インディアンス,8,2
2650,アストロズ,インディアンス,11,2
2651,エンゼルス,レイズ,6,10
2652,カブス,レッズ,2,6
2653,アストロズ,インディアンス,9,10
2654,カブス,レッズ,3,6
2655,Wソックス,インディアンス,6,9
2656,エンゼルス,レイズ,2,7
2657,Wソックス,インディアンス,3,7
2658,エンゼルス,レイズ,2,4
2659,Wソックス,インディアンス,1,9
2660,Wソックス,レイズ,3,2
2661,カブス,レッズ,2,11
2662,Wソックス,レイズ,2,1
2663,ブリュワーズ,インディアンス,2,3
2664,Wソックス,レイズ,8,7
2665,カブス,レッズ,6,8
2666,ブリュワーズ,インディアンス,1,3
2667,オリオールズ,レイズ,3,4
2668,ブリュワーズ,レッズ,6,4
2669,ロイヤルズ,レイズ,0,1
2670,ロイヤルズ,レイズ,1,4
2671,ブリュワーズ,レッズ,8,2
2672,Wソックス,インディアンス,2,6
2673,ロイヤルズ,レイズ,3,6
2674,Wソックス,インディアンス,3,6
2675,ロイヤルズ,レイズ,3,4
2676,Wソックス,インディアンス,0,12
2677,Rソックス,レイズ,3,10
2678,ブリュワーズ,レッズ,3,12
2679,タイガース,インディアンス,0,10
2680,タイガース,インディアンス,1,4
2681,Rソックス,レイズ,1,5
2682,タイガース,インディアンス,2,12
2683,Rソックス,レイズ,1,9
2684,ブリュワーズ,レッズ,2,8
2685,アスレチックス,インディアンス,4,10
2686,Wソックス,レッズ,3,5
2687,アスレチックス,インディアンス,6,3
2688,アスレチックス,インディアンス,6,0
2689,レッズ,インディアンス,7,5
2690,Wソックス,レッズ,12,8
2691,レッズ,インディアンス,7,4
2692,オリオールズ,レイズ,2,14
2693,レッズ,インディアンス,4,19
2694,ヤンキース,インディアンス,7,4
2695,Wソックス,レッズ,4,7
2696,インディアンス,レイズ,5,6
2697,パイレーツ,インディアンス,7,0
2698,パイレーツ,インディアンス,9,4
2699,パイレーツ,インディアンス,0,4
2700,エンゼルス,インディアンス,7,4
2701,インディアンス,レイズ,2,0
2702,エンゼルス,インディアンス,0,3
2703,インディアンス,レイズ,1,3
2704,エンゼルス,インディアンス,3,4
2705,ツインズ,インディアンス,0,10
2706,アスレチックス,レイズ,2,1
2707,カージナルス,レッズ,1,2
2708,ツインズ,インディアンス,3,2
2709,アスレチックス,レイズ,5,7
2710,アスレチックス,レイズ,4,5
2711,ツインズ,インディアンス,4,5
2712,オリオールズ,インディアンス,1,2
2713,オリオールズ,インディアンス,4,2
2714,ヤンキース,レイズ,4,1
2715,カージナルス,レッズ,3,7
2716,オリオールズ,インディアンス,0,8
2717,ヤンキース,レイズ,9,2
2718,ツインズ,インディアンス,1,8
2719,ツインズ,インディアンス,4,3
2720,ヤンキース,レイズ,7,8
2721,ツインズ,インディアンス,3,5
2722,ヤンキース,レイズ,12,1
2723,フィリーズ,レッズ,9,4
2724,レイズ,インディアンス,0,3
2725,ブルージェイズ,レイズ,7,6
2726,ブルージェイズ,レイズ,3,4
2727,レイズ,インディアンス,5,3
2728,レイズ,インディアンス,6,4
2729,ロイヤルズ,インディアンス,5,1
2730,ブルージェイズ,レイズ,4,9
