,試合ID,表チーム,裏チーム,表得点,裏得点
1342,1704432.csv,エンゼルス,アストロズ,0,3
1343,1704433.csv,エンゼルス,アストロズ,5,2
1344,1704434.csv,カージナルス,メッツ,2,3
1345,1704435.csv,エンゼルス,アストロズ,1,5
1346,1704436.csv,アスレチックス,メッツ,5,7
1347,1704437.csv,エンゼルス,アストロズ,1,2
1348,1704438.csv,アスレチックス,アストロズ,4,9
1349,1704440.csv,アスレチックス,アストロズ,2,1
1350,1704441.csv,アスレチックス,アストロズ,2,7
1351,1704442.csv,アスレチックス,メッツ,3,2
1352,1704443.csv,レンジャーズ,アストロズ,2,6
1353,1704444.csv,レンジャーズ,アストロズ,7,8
1354,1704445.csv,レンジャーズ,アストロズ,1,10
1355,1704446.csv,レンジャーズ,アストロズ,10,4
1356,1704447.csv,ブレーブス,アストロズ,3,8
1357,1704448.csv,ブレーブス,アストロズ,2,4
1358,1704449.csv,インディアンス,アストロズ,5,3
1359,1704450.csv,インディアンス,アストロズ,3,0
1360,1704452.csv,タイガース,アストロズ,0,1
1361,1704453.csv,タイガース,アストロズ,2,6
1362,1704454.csv,タイガース,アストロズ,6,3
1363,1704455.csv,タイガース,アストロズ,6,7
1364,1704457.csv,オリオールズ,アストロズ,2,5
1365,1704458.csv,オリオールズ,アストロズ,4,8
1366,1704459.csv,エンゼルス,アストロズ,9,4
1367,1704460.csv,エンゼルス,アストロズ,1,3
1368,1704461.csv,エンゼルス,アストロズ,12,6
1369,1704462.csv,レンジャーズ,アストロズ,6,1
1370,1704465.csv,Rソックス,アストロズ,2,1
1371,1704468.csv,アスレチックス,アストロズ,6,4
1372,1704469.csv,アスレチックス,アストロズ,8,11
1373,1704470.csv,ドジャース,メッツ,6,0
1374,1704473.csv,ドジャース,メッツ,7,4
1375,1704474.csv,ヤンキース,アストロズ,6,7
1376,1704475.csv,ドジャース,メッツ,8,0
1377,1704476.csv,ヤンキース,アストロズ,1,8
1378,1704478.csv,レンジャーズ,メッツ,4,5
1379,1704479.csv,レンジャーズ,メッツ,5,1
1380,1704480.csv,ヤンキース,メッツ,5,3
1381,1704481.csv,ヤンキース,メッツ,7,5
1382,1704482.csv,マーリンズ,メッツ,3,1
1383,1704483.csv,マーリンズ,メッツ,1,8
1384,1704487.csv,Dバックス,メッツ,2,4
1385,1704488.csv,Dバックス,メッツ,3,2
1386,1704491.csv,フィリーズ,メッツ,3,6
1387,1704492.csv,ナショナルズ,フィリーズ,7,6
1388,1704493.csv,レッズ,メッツ,2,7
1389,1704494.csv,ナショナルズ,フィリーズ,3,17
1390,1704495.csv,レッズ,メッツ,1,5
1391,1704497.csv,ナショナルズ,フィリーズ,3,4
1392,1704498.csv,レッズ,メッツ,10,5
1393,1704499.csv,メッツ,フィリーズ,4,3
1394,1704501.csv,メッツ,フィリーズ,14,4
1395,1704502.csv,ナショナルズ,メッツ,4,3
1396,1704503.csv,メッツ,フィリーズ,5,4
1397,1704504.csv,ナショナルズ,メッツ,3,2
1398,1704505.csv,ブレーブス,フィリーズ,3,4
1399,1704506.csv,ブレーブス,メッツ,9,2
1400,1704507.csv,ブレーブス,フィリーズ,3,4
1401,1704508.csv,ブレーブス,メッツ,3,4
1402,1704509.csv,ブレーブス,フィリーズ,2,5
1403,1704510.csv,ブレーブス,メッツ,1,7
1404,1704513.csv,マーリンズ,フィリーズ,2,3
1405,1704514.csv,ナショナルズ,フィリーズ,4,2
1406,1704515.csv,ナショナルズ,フィリーズ,6,2
1407,1704516.csv,ナショナルズ,フィリーズ,5,6
1408,1704517.csv,マリナーズ,フィリーズ,10,9
1409,1704518.csv,マリナーズ,フィリーズ,11,6
1410,1704519.csv,ロッキーズ,フィリーズ,8,1
1411,1704520.csv,ロッキーズ,フィリーズ,8,2
1412,1704521.csv,ロッキーズ,フィリーズ,7,2
1413,1704522.csv,ロッキーズ,フィリーズ,1,2
1414,1704524.csv,レッズ,フィリーズ,3,4
1415,1704525.csv,レッズ,フィリーズ,8,4
1416,1704527.csv,ジャイアンツ,フィリーズ,3,5
1417,1704528.csv,ジャイアンツ,フィリーズ,7,9
1418,1704529.csv,Rソックス,フィリーズ,7,3
1419,1704530.csv,Rソックス,フィリーズ,0,1
1420,1704531.csv,Dバックス,フィリーズ,5,4
1421,1704534.csv,カージナルス,フィリーズ,8,1
1422,1704535.csv,カージナルス,フィリーズ,7,6
1423,1704536.csv,カージナルス,フィリーズ,1,5
1424,1704537.csv,パイレーツ,フィリーズ,0,4
1425,1704538.csv,パイレーツ,フィリーズ,3,0
1426,1704540.csv,パイレーツ,フィリーズ,6,3
1427,1704541.csv,パドレス,フィリーズ,4,3
1428,1704542.csv,パドレス,フィリーズ,2,1
1429,1704543.csv,パドレス,フィリーズ,1,7
1430,1704544.csv,ジャイアンツ,Dバックス,5,6
1431,1704545.csv,ブリュワーズ,フィリーズ,1,6
1432,1704546.csv,ジャイアンツ,Dバックス,8,4
1433,1704548.csv,ジャイアンツ,Dバックス,6,8
1434,1704550.csv,アストロズ,フィリーズ,13,4
1435,1704551.csv,アストロズ,フィリーズ,5,0
1436,1704552.csv,ジャイアンツ,Dバックス,3,9
1437,1704553.csv,アストロズ,フィリーズ,0,9
1438,1704554.csv,ブレーブス,フィリーズ,3,10
1439,1704555.csv,ブレーブス,フィリーズ,3,4
1440,1704556.csv,ブレーブス,フィリーズ,1,2
1441,1704557.csv,ブレーブス,フィリーズ,6,7
1442,1704558.csv,インディアンス,Dバックス,3,7
1443,1704559.csv,インディアンス,Dバックス,2,11
1444,1704560.csv,インディアンス,Dバックス,2,3
1445,1704561.csv,ドジャース,Dバックス,5,13
1446,1704562.csv,ドジャース,Dバックス,5,11
1447,1704563.csv,ドジャース,Dバックス,6,2
1448,1704564.csv,パドレス,Dバックス,6,7
1449,1704566.csv,メッツ,フィリーズ,10,0
1450,1704570.csv,パドレス,Dバックス,2,6
1451,1704571.csv,マリナーズ,アストロズ,9,7
1452,1704572.csv,メッツ,フィリーズ,7,6
1453,1704573.csv,マリナーズ,アストロズ,2,6
1454,1704574.csv,ロッキーズ,Dバックス,3,1
1455,1704575.csv,メッツ,フィリーズ,1,3
1456,1704576.csv,マリナーズ,アストロズ,4,1
1457,1704577.csv,ロッキーズ,Dバックス,7,6
1458,1704578.csv,レイズ,アストロズ,7,14
